sample_id,outer_resonator_width,middle_resonator_width,adjacent_coupling_gap,cross_coupling_gap,feed_offset
sample_0164,12.05,23.05,0.49999999999999994,1.9000000000000001,4.6
sample_0165,12.05,23.05,0.5499999999999999,1.9500000000000002,4.699999999999999
sample_0166,12.05,23.1,0.49999999999999994,1.7,4.75
sample_0167,12.05,23.1,0.49999999999999994,1.75,4.449999999999999
sample_0168,12.05,23.1,0.5499999999999999,1.8,4.6499999999999995
sample_0169,12.05,23.1,0.5499999999999999,1.85,4.6499999999999995
sample_0170,12.05,23.1,0.6,1.85,4.75
sample_0171,12.05,23.15,0.4,1.85,4.6499999999999995
sample_0172,12.05,23.15,0.49999999999999994,1.85,4.699999999999999
sample_0173,12.05,23.2,0.49999999999999994,1.7,4.5
sample_0174,12.05,23.2,0.5499999999999999,1.75,4.6
sample_0175,12.05,23.25,0.44999999999999996,1.8,4.55
sample_0176,12.05,23.25,0.5499999999999999,1.9000000000000001,4.75
sample_0177,12.05,23.25,0.6,1.75,4.449999999999999
sample_0178,12.05,23.25,0.6,1.9500000000000002,4.699999999999999
sample_0179,12.05,23.3,0.4,1.9500000000000002,4.449999999999999
sample_0180,12.05,23.3,0.49999999999999994,1.85,4.75
sample_0181,12.05,23.3,0.5499999999999999,1.75,4.55
sample_0182,12.05,23.3,0.6,1.7,4.699999999999999
sample_0183,12.1,22.8,0.44999999999999996,1.85,4.5
sample_0184,12.1,22.8,0.5499999999999999,1.75,4.75
sample_0185,12.1,22.8,0.5499999999999999,1.85,4.5
sample_0186,12.1,22.8,0.6,1.85,4.55
sample_0187,12.1,22.85,0.49999999999999994,1.7,4.6499999999999995
sample_0188,12.1,22.85,0.6,1.7,4.6499999999999995
sample_0189,12.1,22.85,0.6,1.75,4.75
sample_0190,12.1,22.9,0.4,1.85,4.5
sample_0191,12.1,22.9,0.4,1.9500000000000002,4.75
sample_0192,12.1,22.95,0.44999999999999996,1.85,4.5
sample_0193,12.1,22.95,0.49999999999999994,1.7,4.6
sample_0194,12.1,23.05,0.5499999999999999,1.85,4.699999999999999
sample_0195,12.1,23.1,0.5499999999999999,1.9000000000000001,4.6
sample_0196,12.1,23.1,0.6,1.7,4.699999999999999
sample_0197,12.1,23.25,0.44999999999999996,1.9000000000000001,4.6499999999999995
sample_0198,12.15,22.8,0.4,1.9000000000000001,4.6499999999999995
sample_0199,12.15,22.8,0.49999999999999994,1.7,4.6499999999999995
sample_0200,12.15,22.85,0.4,1.85,4.6
sample_0201,12.15,22.85,0.44999999999999996,1.75,4.449999999999999
sample_0202,12.15,22.85,0.49999999999999994,1.8,4.6499999999999995
sample_0203,12.15,22.95,0.44999999999999996,1.7,4.6499999999999995
sample_0204,12.15,22.95,0.49999999999999994,1.9500000000000002,4.5
sample_0205,12.15,22.95,0.5499999999999999,1.85,4.449999999999999
sample_0206,12.15,23.0,0.44999999999999996,1.85,4.6499999999999995
sample_0207,12.15,23.0,0.6,1.75,4.6499999999999995
sample_0208,12.15,23.05,0.4,1.7,4.55
sample_0209,12.15,23.05,0.44999999999999996,1.9500000000000002,4.5
sample_0210,12.15,23.05,0.6,1.75,4.449999999999999
sample_0211,12.15,23.05,0.6,1.9500000000000002,4.6
sample_0212,12.15,23.1,0.4,1.9000000000000001,4.5
sample_0213,12.15,23.1,0.44999999999999996,1.9500000000000002,4.75
sample_0214,12.15,23.1,0.49999999999999994,1.85,4.5
sample_0215,12.15,23.1,0.49999999999999994,1.85,4.6499999999999995
sample_0216,12.15,23.15,0.44999999999999996,1.9000000000000001,4.6499999999999995
sample_0217,12.15,23.15,0.49999999999999994,1.75,4.699999999999999
sample_0218,12.15,23.2,0.49999999999999994,1.7,4.55
sample_0219,12.15,23.2,0.49999999999999994,1.8,4.6
sample_0220,12.15,23.2,0.49999999999999994,1.85,4.449999999999999
sample_0221,12.15,23.2,0.5499999999999999,1.85,4.6499999999999995
sample_0222,12.15,23.25,0.44999999999999996,1.9500000000000002,4.449999999999999
sample_0223,12.15,23.25,0.49999999999999994,1.9000000000000001,4.449999999999999
sample_0224,12.15,23.25,0.5499999999999999,1.9000000000000001,4.699999999999999
sample_0225,12.15,23.3,0.44999999999999996,1.9500000000000002,4.6499999999999995
sample_0226,12.15,23.3,0.5499999999999999,1.75,4.6
sample_0227,12.2,22.8,0.5499999999999999,1.85,4.449999999999999
sample_0228,12.2,22.8,0.5499999999999999,1.85,4.75
sample_0229,12.2,22.8,0.6,1.7,4.5
sample_0230,12.2,22.8,0.6,1.7,4.6
sample_0231,12.2,22.85,0.44999999999999996,1.7,4.55
sample_0232,12.2,22.85,0.44999999999999996,1.75,4.699999999999999
sample_0233,12.2,22.85,0.5499999999999999,1.7,4.6
sample_0234,12.2,22.9,0.4,1.8,4.6499999999999995
