sample_id,status,analysis_available,target_satisfied,elapsed_seconds,runtime_report_level,runtime_ratio_to_reference,constraint_violation,tracking_error,total_loss,main_peak_freq_hz,bandwidth_3db_hz,main_peak_s21_db,best_s11_db,high_side_zero_freq_hz,high_side_zero_s21_db,center_freq_error_hz,bandwidth_error_hz,insertion_loss_error_db,return_loss_error_db,high_side_zero_freq_error_hz,high_side_zero_depth_error_db,var_outer_resonator_width,var_middle_resonator_width,var_adjacent_coupling_gap,var_cross_coupling_gap,var_feed_offset
sample_0059,ANALYZED,True,False,62.952123799999754,ok,1.0034046611019318,3.7932244975273925,6.393224497527393,5.391530621909241,902000000.0,10065380.370896816,-3.746288792730968,-9.200727926226106,1026999999.9999999,-27.067878476756228,-3000000.0,-29934619.629103184,1.7462887927309678,5.799272073773894,76999999.99999988,-7.067878476756228,11.85,23.25,0.4,1.9500000000000002,4.75
sample_0060,ANALYZED,True,False,63.30373990000044,ok,1.0087213452322445,5.193906568285975,7.393906568285975,7.042383210357468,904000000.0,8072223.762552381,-4.970627190312626,-7.262769759226493,1050000000.0,-38.051319337373755,-1000000.0,-31927776.23744762,2.9706271903126256,7.737230240773507,100000000.0,-18.051319337373755,11.85,23.25,0.6,1.85,4.6
sample_0061,ANALYZED,True,False,63.16129550000005,ok,1.0062537523396085,5.250022281711441,7.4500222817114405,7.112527852139301,904000000.0,7943011.213247895,-5.030251172702198,-7.062032749723027,1050000000.0,-35.28340658721004,-1000000.0,-32056988.786752105,3.030251172702198,7.937967250276973,100000000.0,-15.283406587210038,11.85,23.25,0.6,1.9000000000000001,4.6
sample_0062,ANALYZED,True,False,62.48771899999883,ok,0.9953270643225696,4.1678032512368,7.1678032512368,5.959754064046001,899000000.0,9924325.52075255,-3.7922987992678543,-8.938703944828047,1032999999.9999999,-27.96401843991066,-6000000.0,-30075674.47924745,1.7922987992678543,6.061296055171953,82999999.99999988,-7.96401843991066,11.85,23.3,0.4,1.9000000000000001,4.699999999999999
sample_0063,ANALYZED,True,False,63.14876050000021,ok,1.0060540510718372,3.9639890377044433,6.963989037704443,5.704986297130554,899000000.0,10091281.087371826,-3.712212655619431,-9.344837720521308,1026999999.9999999,-27.121058844607443,-6000000.0,-29908718.912628174,1.7122126556194308,5.6551622794786915,76999999.99999988,-7.121058844607443,11.85,23.3,0.4,1.9500000000000002,4.6499999999999995
sample_0064,ANALYZED,True,False,63.02054270000008,ok,1.0038140735719188,4.32232940493696,7.32232940493696,6.1529117561712,899000000.0,10371410.352101922,-3.593754525269791,-9.56110233731614,1050000000.0,-28.44504822732679,-6000000.0,-29628589.647898078,1.593754525269791,5.4388976626838605,100000000.0,-8.44504822732679,11.85,23.3,0.44999999999999996,1.75,4.55
sample_0065,ANALYZED,True,False,62.983709800000724,ok,1.0030653682886863,4.708593986682443,7.708593986682443,6.635742483353054,900000000.0,8988158.96221435,-4.3124411149552415,-8.23216011860614,1050000000.0,-29.81488668384963,-5000000.0,-31011841.03778565,2.3124411149552415,6.76783988139386,100000000.0,-9.814886683849629,11.85,23.3,0.5499999999999999,1.9500000000000002,4.55
sample_0066,ANALYZED,True,False,61.840056499999264,ok,0.9846927611952669,4.289591624865185,7.289591624865184,6.111989531081481,913000000.0,10824594.14963007,-3.5137921047075626,-9.372675187883846,1032000000.0,-25.660119010761278,8000000.0,-29175405.85036993,1.5137921047075626,5.627324812116154,82000000.0,-5.660119010761278,11.9,22.8,0.4,1.9000000000000001,4.6499999999999995
sample_0067,ANALYZED,True,False,61.72074429999884,ok,0.9829516443048495,5.294985357149078,8.294985357149079,7.368731696436347,914000000.0,9496324.98601365,-4.046999669324517,-8.683229683677236,1050000000.0,-29.947415928815367,9000000.0,-30503675.01398635,2.046999669324517,6.3167703163227635,100000000.0,-9.947415928815367,11.9,22.8,0.49999999999999994,1.85,4.6499999999999995
sample_0068,ANALYZED,True,False,62.11147460000029,ok,0.9893341069845307,6.105291519940026,9.105291519940026,8.381614399925033,915000000.0,8219542.801402092,-4.851523328438833,-7.477737962087718,1050000000.0,-35.0714806169904,10000000.0,-31780457.198597908,2.851523328438833,7.522262037912282,100000000.0,-15.0714806169904,11.9,22.8,0.5499999999999999,1.75,4.699999999999999
sample_0069,ANALYZED,True,False,62.10150479999902,ok,0.9893697039658593,5.34809165650937,8.34809165650937,7.435114570636712,914000000.0,9375254.82643187,-4.113581712638407,-8.5676057574997,1050000000.0,-30.113767340848156,9000000.0,-30624745.17356813,2.113581712638407,6.432394242500299,100000000.0,-10.113767340848156,11.9,22.8,0.5499999999999999,1.75,4.75
sample_0070,ANALYZED,True,False,61.93257689999882,ok,0.9868723772553257,6.039058434193084,9.039058434193084,8.298823042741354,915000000.0,8364837.1081575155,-4.753133773153255,-7.515371123516879,1050000000.0,-32.702837966760136,10000000.0,-31635162.891842484,2.7531337731532552,7.484628876483121,100000000.0,-12.702837966760136,11.9,22.8,0.6,1.9000000000000001,4.5
sample_0071,ANALYZED,True,False,62.27311130000089,ok,0.9925817648068059,5.294985357149078,8.294985357149079,7.368731696436347,914000000.0,9496324.98601365,-4.046999669324517,-8.683229683677236,1050000000.0,-29.947415928815367,9000000.0,-30503675.01398635,2.046999669324517,6.3167703163227635,100000000.0,-9.947415928815367,11.9,22.85,0.49999999999999994,1.8,4.6499999999999995
